163,SILVA,161633,32.61%,2.03%,2.01%,0.39%,1.62%,61.34%,0.091%,906,,,
164,SHAW,160400,72.07%,21.19%,1.48%,0.75%,2.15%,2.36%,0.090%,900,,,
165,SNYDER,160262,94.07%,1.46%,0.59%,0.52%,1.45%,1.92%,0.090%,899,,,
166,MASON,160213,68.82%,25.10%,0.53%,0.76%,2.38%,2.41%,0.090%,899,,,
167,DIXON,159480,54.25%,39.26%,0.43%,0.96%,2.61%,2.49%,0.089%,894,,,
168,MUNOZ,158483,4.89%,0.30%,0.91%,0.21%,0.21%,93.48%,0.089%,889,,,
169,HUNT,158421,73.57%,16.93%,0.61%,4.23%,2.35%,2.31%,0.089%,888,,,
170,HICKS,158320,67.37%,26.88%,0.42%,0.98%,2.23%,2.13%,0.089%,888,,,
171,HOLMES,156780,56.79%,37.28%,0.42%,0.76%,2.37%,2.38%,0.088%,879,,,
172,PALMER,156601,75.08%,18.57%,0.55%,0.81%,2.11%,2.87%,0.088%,878,,,
173,WAGNER,155795,92.47%,2.60%,0.58%,0.54%,1.40%,2.41%,0.087%,874,,,
174,BLACK,154738,74.63%,19.00%,0.53%,1.44%,2.08%,2.33%,0.087%,868,,,
175,ROBERTSON,153666,73.42%,20.61%,0.52%,0.89%,2.11%,2.46%,0.086%,862,,,
176,BOYD,153469,63.18%,30.77%,0.51%,1.02%,2.36%,2.16%,0.086%,861,,,
177,ROSE,153397,82.08%,11.61%,0.72%,0.64%,1.99%,2.96%,0.086%,860,,,
178,STONE,153329,85.95%,8.13%,0.65%,0.95%,1.93%,2.39%,0.086%,860,,,
179,SALAZAR,152703,5.62%,0.27%,1.69%,0.46%,0.30%,91.65%,0.086%,856,,,
180,FOX,152334,88.08%,6.06%,0.56%,1.03%,1.84%,2.42%,0.085%,854,,,
181,WARREN,152147,70.08%,23.94%,0.55%,0.84%,2.26%,2.33%,0.085%,853,,,
182,MILLS,151942,77.50%,16.77%,0.51%,0.82%,2.06%,2.33%,0.085%,852,,,
183,MEYER,150895,94.84%,0.52%,0.71%,0.29%,1.37%,2.28%,0.085%,846,,,
184,RICE,149500,77.63%,16.74%,0.57%,0.74%,1.99%,2.33%,0.084%,838,,,
185,SCHMIDT,147034,95.15%,0.37%,0.61%,0.34%,1.19%,2.34%,0.082%,825,,,
186,GARZA,147005,6.66%,0.24%,0.17%,0.28%,0.15%,92.49%,0.082%,824,,,
187,DANIELS,146570,54.67%,38.54%,0.51%,0.91%,2.68%,2.70%,0.082%,822,,,
188,FERGUSON,146426,74.83%,19.19%,0.60%,0.62%,2.23%,2.53%,0.082%,821,,,
189,NICHOLS,145584,82.42%,11.88%,0.52%,0.76%,1.99%,2.43%,0.082%,816,,,
190,STEPHENS,144646,73.90%,20.31%,0.46%,0.67%,2.12%,2.54%,0.081%,811,,,
191,SOTO,144451,5.15%,0.48%,0.44%,0.26%,0.22%,93.45%,0.081%,810,,,
192,WEAVER,143837,84.41%,9.99%,0.52%,1.09%,1.87%,2.12%,0.081%,807,,,
193,RYAN,143452,91.65%,3.02%,0.89%,0.43%,1.46%,2.55%,0.080%,805,,,
194,GARDNER,142894,75.01%,19.40%,0.56%,0.70%,2.04%,2.29%,0.080%,801,,,
195,PAYNE,142601,71.55%,22.63%,0.45%,0.58%,2.37%,2.42%,0.080%,800,,,
196,GRANT,142277,55.36%,37.91%,0.52%,1.08%,2.35%,2.79%,0.080%,798,,,
197,DUNN,141427,80.08%,14.39%,0.75%,0.59%,1.94%,2.25%,0.079%,793,,,
198,KELLEY,140693,83.78%,10.80%,0.55%,0.66%,2.03%,2.18%,0.079%,789,,,
199,SPENCER,139951,69.41%,23.22%,0.76%,1.47%,2.48%,2.67%,0.078%,785,,,
200,HAWKINS,139751,61.08%,32.75%,0.48%,0.69%,2.50%,2.50%,0.078%,784,,,
201,ARNOLD,138893,81.27%,13.34%,0.57%,0.55%,1.87%,2.41%,0.078%,779,,,
202,PIERCE,138629,80.98%,12.86%,0.53%,1.06%,2.10%,2.47%,0.078%,777,,,
203,VAZQUEZ,138322,3.53%,0.35%,0.18%,0.06%,0.12%,95.75%,0.078%,776,,,
204,HANSEN,137977,94.22%,0.53%,0.74%,0.49%,1.47%,2.54%,0.077%,774,,,
205,PETERS,137513,82.86%,10.41%,0.98%,1.33%,1.86%,2.55%,0.077%,771,,,
206,SANTOS,137232,20.06%,2.31%,13.32%,0.27%,1.85%,62.20%,0.077%,770,,,
207,HART,137184,80.54%,13.64%,0.56%,0.73%,2.01%,2.52%,0.077%,769,,,
208,BRADLEY,136720,69.12%,25.09%,0.44%,0.82%,2.19%,2.34%,0.077%,767,,,
209,KNIGHT,136713,72.31%,21.61%,0.52%,0.90%,2.17%,2.50%,0.077%,767,,,
210,ELLIOTT,135765,81.62%,12.96%,0.54%,0.66%,2.00%,2.21%,0.076%,761,,,
211,CUNNINGHAM,135718,73.16%,21.18%,0.53%,0.48%,2.07%,2.58%,0.076%,761,,,
212,DUNCAN,135187,76.39%,17.33%,0.52%,0.99%,2.21%,2.55%,0.076%,758,,,
213,ARMSTRONG,135044,72.39%,21.01%,0.58%,0.93%,2.31%,2.79%,0.076%,757,,,
214,HUDSON,134963,66.88%,27.42%,0.46%,0.84%,2.20%,2.20%,0.076%,757,,,
215,CARROLL,134317,82.95%,11.48%,0.61%,0.67%,1.92%,2.36%,0.075%,753,,,
216,LANE,134227,77.14%,16.88%,0.61%,0.92%,2.12%,2.33%,0.075%,753,,,
217,RILEY,133872,72.79%,21.27%,0.51%,0.87%,2.08%,2.48%,0.075%,751,,,
218,ANDREWS,133799,71.78%,21.58%,0.78%,1.09%,2.20%,2.57%,0.075%,750,,,
219,ALVARADO,133501,4.29%,0.33%,0.53%,0.23%,0.20%,94.42%,0.075%,749,,,
220,RAY,133171,74.97%,17.54%,1.94%,0.93%,2.05%,2.56%,0.075%,747,,,
221,DELGADO,132985,5.57%,0.72%,0.80%,0.19%,0.25%,92.47%,0.075%,746,,,
222,BERRY,132812,70.66%,23.11%,0.56%,0.80%,2.34%,2.53%,0.074%,745,,,
223,PERKINS,131440,69.45%,24.60%,0.53%,0.73%,2.33%,2.37%,0.074%,737,,,
224,HOFFMAN,131401,94.08%,1.26%,0.63%,0.56%,1.34%,2.12%,0.074%,737,,,
225,JOHNSTON,131373,91.62%,2.41%,0.68%,0.83%,1.84%,2.62%,0.074%,737,,,
226,MATTHEWS,131303,63.37%,30.67%,0.62%,0.58%,2.36%,2.39%,0.074%,736,,,
227,PENA,130776,5.34%,0.52%,1.09%,0.31%,0.24%,92.50%,0.073%,733,,,
228,RICHARDS,130529,78.67%,14.86%,0.66%,1.04%,1.96%,2.81%,0.073%,732,,,
229,CONTRERAS,130164,4.19%,0.21%,0.55%,0.25%,0.16%,94.64%,0.073%,730,,,
230,WILLIS,130152,62.22%,31.07%,0.51%,1.33%,2.55%,2.31%,0.073%,730,,,
231,CARPENTER,129898,86.21%,8.49%,0.57%,0.68%,1.87%,2.18%,0.073%,728,,,
232,LAWRENCE,129699,68.87%,24.65%,0.74%,0.93%,2.30%,2.50%,0.073%,727,,,
233,SANDOVAL,128948,5.29%,0.21%,0.55%,1.77%,0.25%,91.93%,0.072%,723,,,
234,GUERRERO,128677,4.55%,0.33%,2.20%,0.22%,0.43%,92.27%,0.072%,722,,,
235,GEORGE,128625,66.47%,18.46%,7.62%,2.24%,2.04%,3.16%,0.072%,721,,,
236,CHAPMAN,127939,79.51%,14.62%,0.57%,0.81%,2.03%,2.47%,0.072%,718,,,
237,RIOS,127794,4.99%,0.44%,0.43%,0.32%,0.22%,93.61%,0.072%,717,,,
238,ESTRADA,127470,4.58%,0.43%,1.66%,0.20%,0.28%,92.86%,0.071%,715,,,
239,ORTEGA,127256,4.77%,0.29%,1.15%,0.43%,0.25%,93.11%,0.071%,714,,,
240,WATKINS,127083,62.03%,32.27%,0.42%,0.64%,2.56%,2.09%,0.071%,713,,,
241,GREENE,126101,67.70%,26.54%,0.48%,0.73%,2.34%,2.21%,0.071%,707,,,
242,NUNEZ,125350,5.28%,0.67%,0.83%,0.26%,0.23%,92.72%,0.070%,703,,,
243,WHEELER,125058,80.96%,13.29%,0.50%,0.93%,1.97%,2.35%,0.070%,701,,,
244,VALDEZ,124995,6.29%,0.48%,3.35%,0.65%,0.56%,88.66%,0.070%,701,,,
245,HARPER,124461,67.90%,26.22%,0.49%,0.72%,2.36%,2.31%,0.070%,698,,,
246,BURKE,122877,85.93%,8.76%,0.68%,0.54%,1.68%,2.41%,0.069%,689,,,
247,LARSON,122587,94.79%,0.49%,0.74%,0.62%,1.41%,1.95%,0.069%,687,,,
248,SANTIAGO,122212,5.41%,1.31%,4.50%,0.14%,0.58%,88.06%,0.069%,685,,,
249,MALDONADO,121526,4.97%,0.50%,0.40%,0.19%,0.23%,93.71%,0.068%,682,,,
250,MORRISON,121130,79.11%,14.82%,0.61%,0.98%,1.99%,2.49%,0.068%,679,,,
251,FRANKLIN,120621,54.38%,38.76%,0.54%,0.83%,2.78%,2.70%,0.068%,676,,,
252,CARLSON,120552,94.83%,0.46%,0.77%,0.49%,1.38%,2.07%,0.068%,676,,,
253,AUSTIN,119706,67.47%,26.01%,0.61%,0.80%,2.34%,2.78%,0.067%,671,,,
254,DOMINGUEZ,119304,5.04%,0.38%,1.03%,0.25%,0.21%,93.09%,0.067%,669,,,
255,CARR,119076,73.61%,20.82%,0.49%,0.59%,2.08%,2.41%,0.067%,668,,,
256,LAWSON,119053,73.84%,20.74%,0.43%,0.65%,2.15%,2.20%,0.067%,668,,,
257,JACOBS,118614,74.28%,16.71%,0.59%,3.75%,2.16%,2.52%,0.067%,665,,,
258,OBRIEN,118557,93.85%,1.29%,0.76%,0.37%,1.42%,2.32%,0.066%,665,,,
259,LYNCH,117708,82.30%,11.74%,0.59%,1.07%,1.78%,2.52%,0.066%,660,,,
